date,매매,분류,code,종목명,PER,PBR,ROE,현재가,연중최고가,연중최저가
2025/12/03/22:40,매수,시총대비영업이익30%이상,84690,대상홀딩스,17.52,0.46,2.7,9610,18620,-8830
2025/12/03/22:40,매수,시총대비영업이익30%이상,122690,서진오토모티브,37.17,0.44,1.3,1988,2990,-1736
2025/12/04/19:41,매수,외국인순매수,0001S0,TIGER 26-04 회사채(A+이상)액티브,,,,50825,51620,-50095
2025/12/04/19:41,매수,외국인순매수,0053L0,TIGER 차이나휴머노이드로봇,,,,12885,15020,-8930
2025/12/04/19:41,매수,중소형저평가우량주,214180,헥토이노베이션,7.5,0.91,14.6,15790,18490,-11260
2025/12/04/19:41,매수,대형저평가우량주,17670,SK텔레콤,9.33,0.99,10.8,54200,59100,-50400
2025/12/04/19:41,매수,실적호전주,34120,SBS,10.73,0.4,3.8,19570,29700,-17000
2025/12/04/19:41,매수,실적호전주,267250,HD현대,32.2,1.79,6.4,207500,237000,-66300
2025/12/04/19:41,매수,실적호전주,450950,아스테라시스,89.23,24.32,40.6,14580,17480,-6340
2025/12/04/19:41,매수,수익성이좋은기업,458650,성우,7.62,0.73,10.7,-10620,24050,-10110
2025/12/07/20:03,매수,외국인지분율상승,67770,세진티에스,6.23,0.41,6.9,2320,2685,-2020
2025/12/07/20:03,매수,외국인지분율상승,70300,엑스큐어,,0.98,-76.8,1333,6510,-1150
2025/12/07/20:03,매수,외국인지분율상승,111110,호전실업,3.38,0.43,14.4,8160,9190,-6760
2025/12/07/20:03,매수,외국인지분율상승,189980,흥국에프엔비,12.81,0.63,5.4,1637,2075,-1530
2025/12/07/20:03,매수,외국인지분율상승,298040,효성중공업,84.27,9.83,14.9,2012000,2483000,-382000
2025/12/07/20:03,매수,외국인지분율상승,368600,아이씨에이치,,0.59,-26.2,1534,4225,-1161
2025/12/07/20:03,매수,외국인지분율상승,443060,HD현대마린솔루션,36.74,11.3,45.0,194900,257000,-126200
2025/12/07/20:03,매수,외국인지분율상승,481850,신한글로벌액티브리츠,,0.48,-11.7,1335,2095,-1273
2025/12/07/20:03,매수,외국인지분율상승,495230,KoAct 코리아밸류업액티브,,,,17110,17825,-8955
2025/12/07/20:03,매수,외국인순매수,8970,KBI동양철관,,1.44,-20.1,1975,3535,-600
2025/12/07/20:03,매수,외국인순매수,10140,삼성중공업,350.65,4.7,1.8,25450,32500,-11220
